name,display,id,object_type,natural_slug,content_types,color,description,weight,created,last_updated
VLAN,VLAN,b1e0234a-f951-43e8-89d1-da05d713792e,extras.role,vlan_b1e0,"ipam.ipaddress,ipam.prefix,ipam.vlan",ffe4e1,Layer 3 Vlans,500,2026-02-08T17:05:38.211639Z,2026-04-20T05:15:05.466596Z
VRRP,VRRP,77a52721-0934-4303-8ea0-6079e81cc11a,extras.role,vrrp_77a5,ipam.ipaddress,4caf50,,500,2025-06-19T00:00:00Z,2026-04-20T05:15:05.475154Z
WAN,WAN,400163ea-5d00-4470-98fc-54e94bf05637,extras.role,wan_4001,"ipam.ipaddress,ipam.prefix",ffffff,Transport IPs,500,2026-02-08T17:05:38.246474Z,2026-04-20T05:15:05.483525Z
Hub,Hub,9df23fce-3063-44a9-b2c9-e85e0ff9e795,extras.role,hub_9df2,vpn.vpntunnelendpoint,2f6a31,Unit plays a Hub role,550,2025-12-02T16:01:59.795134Z,2026-04-20T05:14:48.334267Z
Peer,Peer,5f47a7d5-4390-4ba0-bcc5-7ebd4b3ccfd9,extras.role,peer_5f47,vpn.vpntunnelendpoint,ff9800,Unit plays a Peer role,550,2025-12-02T16:01:59.792060Z,2026-04-20T05:14:48.344150Z
Spoke,Spoke,c38f8697-9c10-47ad-9953-0a96a5c70239,extras.role,spoke_c38f,vpn.vpntunnelendpoint,8bc34a,Unit plays a Spoke role,550,2025-12-02T16:01:59.797506Z,2026-04-20T05:14:48.351637Z
Administrative,Administrative,588b5dae-bf2b-478a-9eda-a2ee332a9f45,extras.role,administrative_588b,extras.contactassociation,2196f3,Unit plays an administrative role,1000,2025-06-19T22:15:20.208122Z,2026-03-30T22:14:59.682758Z
Billing,Billing,9e5a0f06-c73e-407d-b9db-c7a142ea227e,extras.role,billing_9e5a,extras.contactassociation,4caf50,Unit plays a billing role,1000,2025-06-19T22:15:20.212227Z,2026-03-30T22:14:59.695205Z
DLM Owner,DLM Owner,5eed006d-403e-4523-a63e-c2a374790e62,extras.role,dlm-owner_5eed,extras.contactassociation,9e9e9e,,1000,2025-11-25T20:15:17.550594Z,2026-03-30T22:14:59.704412Z
DLM Primary,DLM Primary,a9015b0a-b8d2-41d3-80a1-285ec57dc2c6,extras.role,dlm-primary_a901,extras.contactassociation,9e9e9e,,1000,2025-11-25T20:15:17.524304Z,2026-03-30T22:14:59.712933Z
DLM Tier 1,DLM Tier 1,3982dccf-6ccb-4c7c-bbb0-af5a6a570166,extras.role,dlm-tier-1_3982,extras.contactassociation,9e9e9e,,1000,2025-11-25T20:15:17.532364Z,2026-03-30T22:14:59.721838Z
DLM Tier 2,DLM Tier 2,84a472f7-9aba-49ce-993c-bcf8924b283d,extras.role,dlm-tier-2_84a4,extras.contactassociation,9e9e9e,,1000,2025-11-25T20:15:17.538519Z,2026-03-30T22:14:59.730900Z
DLM Tier 3,DLM Tier 3,f4929e8f-fcde-4ac8-bb0d-08f37a56af2d,extras.role,dlm-tier-3_f492,extras.contactassociation,9e9e9e,,1000,2025-11-25T20:15:17.545272Z,2026-03-30T22:14:59.741569Z
DLM Unassigned,DLM Unassigned,0ab5af97-19c4-4bb9-a76d-b3ab17e257ee,extras.role,dlm-unassigned_0ab5,extras.contactassociation,9e9e9e,,1000,2025-11-25T20:15:17.556372Z,2026-03-30T22:14:59.750040Z
Engagement,Engagement,3a72284a-614c-41ae-877a-719eaef99b3c,extras.role,engagement_3a72,extras.contactassociation,9e9e9e,,1000,2026-02-08T17:05:37.578338Z,2026-03-30T22:14:59.757027Z
On Site,On Site,929fb977-a960-4989-8f61-a90a94f46f6d,extras.role,on-site_929f,extras.contactassociation,111111,Unit plays an on site role,1000,2025-06-19T22:15:20.217714Z,2026-03-30T22:14:59.764387Z
Sales,Sales,be53b6e0-0b1d-4852-b3ac-c4f0d1a09a1d,extras.role,sales_be53,extras.contactassociation,9e9e9e,,1000,2026-02-08T17:05:37.955224Z,2026-03-30T22:14:59.771148Z
Support,Support,a8966772-b0b8-4c50-a05c-ac7a3d5993d5,extras.role,support_a896,extras.contactassociation,ffeb3b,Unit plays a support role,1000,2025-06-19T22:15:20.215028Z,2026-03-30T22:14:59.778608Z
